n_rows,n_executors,seconds
100000,1,16.387
100000,2,11.839
100000,4,15.97
1000000,1,99.003
1000000,2,51.241
1000000,4,48.428
8000000,1,749.305
8000000,2,385.217
8000000,4,308.791
